date,open,high,low,close,volume
2026-05-28T04:00,6.262,6.328,6.242,6.327,4028
2026-05-28T08:00,6.3265,6.3455,6.3125,6.3325,3577
2026-05-28T12:00,6.331,6.408,6.322,6.4035,15151
2026-05-28T16:00,6.4035,6.432,6.4025,6.419,7523
2026-05-28T20:00,6.4185,6.428,6.413,6.418,642
2026-05-29T00:00,6.4185,6.44,6.406,6.4135,2315
2026-05-29T04:00,6.4145,6.4265,6.39,6.422,2631
2026-05-29T08:00,6.421,6.4215,6.3845,6.404,3685
2026-05-29T12:00,6.403,6.437,6.371,6.401,13595
2026-05-29T16:00,6.4025,6.409,6.374,6.3935,7360
2026-05-29T20:00,6.393,6.398,6.387,6.389,815
2026-05-31T20:00,6.389,6.4185,6.3885,6.4095,491
2026-06-01T00:00,6.409,6.4665,6.408,6.439,3183
2026-06-01T04:00,6.438,6.489,6.4315,6.4875,4048
2026-06-01T08:00,6.4885,6.5805,6.4795,6.577,15350
2026-06-01T12:00,6.5775,6.5805,6.463,6.5415,24840
2026-06-01T16:00,6.542,6.585,6.529,6.5675,11019
2026-06-01T20:00,6.567,6.572,6.557,6.568,1050
2026-06-02T00:00,6.57,6.6,6.5275,6.566,5596
2026-06-02T04:00,6.567,6.644,6.562,6.641,5198
2026-06-02T08:00,6.64,6.649,6.6065,6.6415,5336
2026-06-02T12:00,6.6415,6.6955,6.634,6.6955,17809
2026-06-02T16:00,6.696,6.698,6.652,6.6725,8504
2026-06-02T20:00,6.672,6.6835,6.6445,6.666,893
2026-06-03T00:00,6.665,6.684,6.6385,6.6665,3335
2026-06-03T04:00,6.6655,6.673,6.567,6.579,6394
2026-06-03T08:00,6.5795,6.6305,6.5705,6.6085,7346
2026-06-03T12:00,6.6075,6.622,6.499,6.5135,24618
2026-06-03T16:00,6.5135,6.518,6.487,6.489,9330
2026-06-03T20:00,6.489,6.497,6.4725,6.495,1071
2026-06-04T00:00,6.4935,6.4995,6.4295,6.4645,4280
2026-06-04T04:00,6.4675,6.48,6.4205,6.4625,3620
2026-06-04T08:00,6.462,6.5405,6.462,6.534,6632
2026-06-04T12:00,6.534,6.5625,6.5095,6.533,12539
2026-06-04T16:00,6.5335,6.5525,6.523,6.5375,8594
2026-06-04T20:00,6.5365,6.5375,6.508,6.512,716
2026-06-05T00:00,6.5115,6.513,6.4115,6.428,5673
2026-06-05T04:00,6.4295,6.44,6.396,6.4165,5554
2026-06-05T08:00,6.4155,6.4475,6.399,6.446,6076
2026-06-05T12:00,6.4455,6.4655,6.282,6.283,24962
2026-06-05T16:00,6.283,6.2965,6.2525,6.263,16799
2026-06-05T20:00,6.262,6.2845,6.2465,6.2845,1093
2026-06-07T20:00,6.2375,6.2705,6.2355,6.2665,1552
2026-06-08T00:00,6.267,6.3065,6.246,6.291,4543
2026-06-08T04:00,6.293,6.3025,6.2495,6.293,5122
2026-06-08T08:00,6.2925,6.384,6.2925,6.3715,8323
2026-06-08T12:00,6.372,6.3965,6.3535,6.3635,15704
2026-06-08T16:00,6.363,6.369,6.3255,6.336,10691
2026-06-08T20:00,6.3355,6.35,6.321,6.324,585
2026-06-09T00:00,6.325,6.346,6.3005,6.3255,2933
2026-06-09T04:00,6.3245,6.3875,6.3155,6.3795,3444
2026-06-09T08:00,6.379,6.4355,6.3695,6.43,7009
2026-06-09T12:00,6.4305,6.4655,6.3475,6.35,19822
2026-06-09T16:00,6.3495,6.362,6.2835,6.3435,15997
2026-06-09T20:00,6.3435,6.356,6.3255,6.336,606
2026-06-10T00:00,6.3375,6.356,6.3015,6.3125,2836
2026-06-10T04:00,6.314,6.3265,6.2675,6.306,4801
2026-06-10T08:00,6.3045,6.3045,6.2225,6.2445,7643
2026-06-10T12:00,6.244,6.34,6.2255,6.287,21456
2026-06-10T16:00,6.289,6.2955,6.2045,6.207,11754
2026-06-10T20:00,6.2065,6.2095,6.1715,6.187,2014
2026-06-11T00:00,6.187,6.2605,6.186,6.2125,6427
2026-06-11T04:00,6.214,6.245,6.2095,6.2405,3899
2026-06-11T08:00,6.2395,6.262,6.1975,6.2545,3954
2026-06-11T12:00,6.2555,6.286,6.2105,6.281,18527
2026-06-11T16:00,6.2805,6.4065,6.262,6.3955,18839
2026-06-11T20:00,6.3955,6.4005,6.383,6.394,871
2026-06-12T00:00,6.3935,6.43,6.3715,6.4255,4236
2026-06-12T04:00,6.4215,6.4235,6.3585,6.3815,3812
2026-06-12T08:00,6.3825,6.4455,6.3775,6.395,10205
2026-06-12T12:00,6.395,6.446,6.3605,6.4105,14612
2026-06-12T16:00,6.41,6.492,6.4095,6.4905,12695
2026-06-12T20:00,6.4905,6.496,6.445,6.445,1009
2026-06-14T20:00,6.5365,6.5395,6.5005,6.522,1774
2026-06-15T00:00,6.5225,6.562,6.494,6.541,4436
2026-06-15T04:00,6.5425,6.5605,6.5055,6.519,3926
2026-06-15T08:00,6.5185,6.5255,6.4775,6.513,7291
2026-06-15T12:00,6.5125,6.5205,6.471,6.4865,15228
2026-06-15T16:00,6.4855,6.505,6.4825,6.5045,7981
2026-06-15T20:00,6.504,6.506,6.479,6.4815,570
2026-06-16T00:00,6.4815,6.4885,6.425,6.4665,3258
2026-06-16T04:00,6.467,6.4825,6.432,6.4465,3520
2026-06-16T08:00,6.4475,6.507,6.4405,6.5045,8999
2026-06-16T12:00,6.5035,6.5375,6.486,6.5045,18161
2026-06-16T16:00,6.504,6.5205,6.4865,6.4965,9325
2026-06-16T20:00,6.4955,6.497,6.475,6.486,590
2026-06-17T00:00,6.486,6.5445,6.483,6.5185,3197
2026-06-17T04:00,6.5165,6.5525,6.512,6.5465,2495
2026-06-17T08:00,6.5465,6.5475,6.501,6.5175,7681
2026-06-17T12:00,6.52,6.526,6.458,6.4935,23343
2026-06-17T16:00,6.494,6.512,6.3255,6.3475,18495
2026-06-17T20:00,6.348,6.3955,6.347,6.3955,1473
2026-06-18T00:00,6.396,6.421,6.365,6.3925,4468
2026-06-18T04:00,6.396,6.4375,6.374,6.4235,3682
2026-06-18T08:00,6.4245,6.432,6.352,6.355,10054
2026-06-18T12:00,6.355,6.4475,6.351,6.3965,17698
2026-06-18T16:00,6.396,6.399,6.364,6.3775,6755
2026-06-18T20:00,6.377,6.3875,6.3655,6.368,465
2026-06-19T00:00,6.3705,6.375,6.302,6.304,2503
2026-06-21T20:00,6.3305,6.3485,6.2955,6.3275,1306
2026-06-22T00:00,6.328,6.4035,6.282,6.313,7475
2026-06-22T04:00,6.3125,6.374,6.309,6.345,3787
2026-06-22T08:00,6.3455,6.3995,6.337,6.3775,3739
2026-06-22T12:00,6.377,6.4005,6.337,6.356,12774
2026-06-22T16:00,6.355,6.369,6.337,6.3645,5027
2026-06-22T20:00,6.365,6.3695,6.337,6.351,408
2026-06-23T00:00,6.35,6.3595,6.279,6.28,3839
2026-06-23T04:00,6.2835,6.2885,6.174,6.1795,9249
2026-06-23T08:00,6.182,6.201,6.1525,6.171,11534
2026-06-23T12:00,6.1695,6.1875,6.144,6.1545,18886
2026-06-23T16:00,6.155,6.163,6.11,6.123,8618
2026-06-23T20:00,6.124,6.1355,6.115,6.134,949
2026-06-24T00:00,6.136,6.1485,6.094,6.1125,5576
2026-06-24T04:00,6.113,6.165,6.0985,6.1295,6117
2026-06-24T08:00,6.13,6.1465,6.043,6.0625,11144
2026-06-24T12:00,6.062,6.069,5.9595,5.98,30187
2026-06-24T16:00,5.979,5.98,5.924,5.9585,12391
2026-06-24T20:00,5.958,5.993,5.9545,5.976,371
2026-06-25T00:00,5.9775,6.006,5.951,6.005,2706
2026-06-25T04:00,6.004,6.0635,5.9655,6.0605,5699
2026-06-25T08:00,6.0615,6.1105,6.0615,6.088,9170
2026-06-25T12:00,6.0885,6.148,6.0725,6.145,22670
2026-06-25T16:00,6.1465,6.1535,6.122,6.133,11108
2026-06-25T20:00,6.1345,6.144,6.083,6.1175,460
2026-06-26T00:00,6.1175,6.1195,6.03,6.0415,4639
2026-06-26T04:00,6.0435,6.099,6.0235,6.095,5402
2026-06-26T08:00,6.095,6.192,6.0895,6.1775,7058
2026-06-26T12:00,6.1775,6.243,6.152,6.2065,21073
2026-06-26T16:00,6.207,6.216,6.1765,6.187,7287
2026-06-26T20:00,6.1885,6.207,6.18,6.207,590
2026-06-28T20:00,6.1945,6.202,6.1885,6.189,430
2026-06-29T00:00,6.189,6.2105,6.151,6.2015,3194
2026-06-29T04:00,6.198,6.2405,6.174,6.197,2793
2026-06-29T08:00,6.197,6.2055,6.168,6.2,4349
2026-06-29T12:00,6.1995,6.2055,6.1335,6.165,13797
2026-06-29T16:00,6.165,6.18,6.1605,6.1745,7788
2026-06-29T20:00,6.175,6.1845,6.169,6.177,224
2026-06-30T00:00,6.1755,6.1935,6.1095,6.176,4440
2026-06-30T04:00,6.18,6.289,6.173,6.266,7244
2026-06-30T08:00,6.2655,6.274,6.218,6.258,6687
2026-06-30T12:00,6.259,6.322,6.228,6.255,17769
2026-06-30T16:00,6.255,6.2735,6.2445,6.2535,5827
2026-06-30T20:00,6.2525,6.2575,6.246,6.249,245
2026-07-01T00:00,6.248,6.251,6.1315,6.1515,4469
2026-07-01T04:00,6.149,6.1665,6.1215,6.15,3401
