date,open,high,low,close,volume
2015-08-06,3.0,3.0,0.15,1.28,13037.50240336
2015-08-13,1.26,2.1,0.5,1.24,37446.88427944
2015-08-20,1.3,1.53,1.08,1.18,15248.43940333
2015-08-27,1.18,1.38,0.9,1.32,32308.95472236
2015-09-03,1.3,1.38,1.21,1.21,10665.59330594
2015-09-10,1.19,1.21,0.8,0.93,10055.41425451
2015-09-17,0.82,0.95,0.8,0.91,738.48412612
2015-09-24,0.8,0.8,0.5,0.71,12304.89645617
2015-10-01,0.71,0.71,0.6,0.6,3466.66912303
2015-10-08,0.6,0.65,0.48,0.48,10215.34442751
2015-10-15,0.55,0.56,0.41,0.41,4781.53990066
2015-10-22,0.44,1.01,0.41,0.99,14769.70036669
2015-10-29,1.0,1.34,0.79,0.79,17484.60815415
2015-11-05,1.0,1.07,0.73,0.75,17859.18712594
2015-11-12,0.89,1.0,0.66,0.99,12681.33620375
2015-11-19,0.99,0.99,0.86,0.87,2320.33217058
2015-11-26,0.89,0.91,0.8,0.82,9171.25156629
2015-12-03,0.81,0.89,0.76,0.8,15488.08478255
2015-12-10,0.77,1.09,0.77,0.8,26177.63229999
2015-12-17,0.97,1.06,0.87,0.87,7718.62622486
2015-12-24,0.85,1.0,0.84,0.89,10089.1427509
2015-12-31,0.92,0.97,0.84,0.95,2854.35667536
2016-01-07,0.95,1.25,0.93,1.13,47313.02166351
2016-01-14,1.1,1.61,1.1,1.4,47373.91545728
2016-01-21,1.5,2.87,1.1,2.4,183914.35584169
2016-01-28,2.4,2.61,2.0,2.53,70608.93367209
2016-02-04,2.53,4.97,2.47,4.35,177766.3127252
2016-02-11,4.44,6.47,3.44,3.79,262091.60336877
2016-02-18,3.61,6.5,3.32,6.23,168947.62948583
2016-02-25,6.23,9.9,5.55,8.41,200448.09578811
2016-03-03,8.45,12.0,8.27,11.55,569802.66122823
2016-03-10,11.55,15.17,10.0,12.54,525992.5100893
2016-03-17,12.54,13.0,8.09,12.42,411035.49589676
2016-03-24,12.32,12.48,10.11,11.85,214504.9074145
2016-03-31,11.85,12.13,10.01,10.7,138704.36250098
2016-04-07,10.7,10.77,7.0,8.0,346058.82407854
2016-04-14,8.11,10.0,7.99,8.47,227323.18630339
2016-04-21,8.47,8.7,7.09,7.76,169491.23750071
2016-04-28,7.76,10.44,7.21,9.46,218748.18101788
2016-05-05,9.36,10.0,8.97,9.98,124099.42767264
2016-05-12,9.98,14.3,9.73,13.49,276508.32962421
2016-05-19,13.47,14.85,11.8,12.5,310585.16420056
2016-05-26,12.5,14.39,10.29,13.96,293511.25690775
2016-06-02,13.98,14.76,13.01,14.38,157498.46020099
2016-06-09,14.41,19.3,13.77,18.45,376414.46473747
2016-06-16,18.45,21.48,10.1,13.39,1640121.6454833
2016-06-23,13.39,15.1,11.33,12.64,544522.72965797
2016-06-30,12.64,12.75,9.3,10.45,332631.75488096
2016-07-07,10.6,11.68,9.75,10.42,246719.81823661
2016-07-14,10.5,13.0,10.5,12.49,395245.80031243
2016-07-21,12.45,15.23,11.5,13.03,730594.64634254
2016-07-28,13.02,13.09,7.0,10.37,650072.3142826
2016-08-04,10.36,12.49,10.16,12.22,319559.78613233
2016-08-11,12.2,12.47,10.71,10.77,126124.87575585
2016-08-18,10.74,11.38,10.65,11.09,88744.15756584
2016-08-25,11.05,11.78,10.83,11.61,98969.95037472
2016-09-01,11.61,12.54,11.42,11.58,112391.47647262
2016-09-08,11.6,12.24,11.35,11.96,114841.02402147
2016-09-15,11.96,14.45,11.9,13.78,259114.72777349
2016-09-22,13.65,13.65,12.3,13.27,117614.43136024
2016-09-29,13.29,13.5,13.02,13.02,64333.3501317
2016-10-06,13.09,13.21,11.6,11.85,151150.12236188
2016-10-13,11.88,12.89,11.7,12.03,125031.84723886
2016-10-20,12.05,12.29,11.12,11.51,88002.44304207
2016-10-27,11.49,12.0,9.23,10.84,242528.79645203
2016-11-03,10.83,11.24,10.2,10.69,126540.36529965
2016-11-10,10.7,10.72,9.56,10.04,125763.45066016
2016-11-17,10.01,10.3,9.4,9.8,103704.59720121
2016-11-24,9.73,9.78,7.8,8.55,269634.95101809
2016-12-01,8.55,8.67,5.92,8.32,361321.69336478
2016-12-08,8.35,8.89,8.0,8.21,185823.76120276
2016-12-15,8.23,8.33,7.5,7.82,151672.4093935
2016-12-22,7.85,7.86,7.01,7.54,153642.10185924
2016-12-29,7.57,11.12,7.57,11.02,407277.05722955
2017-01-05,11.02,11.63,9.1,9.79,458542.73114726
2017-01-12,9.7,10.68,9.16,10.35,165184.49445654
2017-01-19,10.34,11.19,10.2,10.5,142507.2894213
2017-01-26,10.51,10.79,10.38,10.59,92454.25812665
2017-02-02,10.65,11.54,10.56,11.39,125318.76308753
2017-02-09,11.38,13.58,10.48,12.99,295095.82965452
