date,open,high,low,close,volume
2026-01-28,34.5,34.51,32.35,34.33,31341.96849743
2026-01-29,34.41,34.77,30.44,30.85,145831.13553157
2026-01-30,30.81,32.86,26.5,30.62,294953.9637056
2026-01-31,30.6,32.1,27.48,31.0,300889.03064764
2026-02-01,31.0,32.55,28.5,30.65,152292.31556486
2026-02-02,30.62,34.0,29.56,33.29,351337.97030691
2026-02-03,33.29,38.36,32.26,32.61,668989.74929663
2026-02-04,32.74,36.36,32.4,35.46,297133.90381736
2026-02-05,35.47,35.49,31.05,33.03,623037.17909571
2026-02-06,33.04,37.0,31.36,32.42,439003.17539299
2026-02-07,32.39,34.44,31.05,31.43,253530.54780913
2026-02-08,31.43,32.99,30.48,32.42,136446.00967382
2026-02-09,32.45,33.53,30.94,31.25,165925.92184885
2026-02-10,31.34,31.53,28.72,28.8,399597.85543595
2026-02-11,28.81,30.21,28.35,29.38,365893.90955746
2026-02-12,29.39,31.8,29.18,31.05,302972.11070499
2026-02-13,31.08,32.33,30.0,31.64,169884.12078715
2026-02-14,31.59,32.31,30.71,31.76,237960.57423603
2026-02-15,31.85,31.98,30.24,30.72,94725.42493403
2026-02-16,30.7,31.21,29.6,31.21,60897.01813596
2026-02-17,31.21,31.38,29.04,29.52,69357.21312531
2026-02-18,29.52,29.76,28.22,28.67,67404.33024476
2026-02-19,28.69,29.37,27.77,29.05,99768.94321075
2026-02-20,29.02,30.41,28.63,30.32,107759.9440328
2026-02-21,30.36,30.55,28.31,29.76,62222.28152291
2026-02-22,29.74,29.92,28.68,28.96,30371.73060921
2026-02-23,28.97,29.01,25.65,26.25,181595.40726383
2026-02-24,26.38,27.4,25.54,27.12,80940.03480813
2026-02-25,27.12,29.09,26.71,27.85,159938.97107916
2026-02-26,27.89,29.37,27.78,28.13,93637.21035664
2026-02-27,28.13,29.9,26.81,27.29,81690.37316676
2026-02-28,27.31,31.37,26.13,31.23,130819.87839133
2026-03-01,31.25,32.26,30.23,31.57,142703.74250403
2026-03-02,31.55,33.71,29.98,32.83,178693.20260577
2026-03-03,32.82,33.6,30.75,31.32,139225.39359323
2026-03-04,31.32,33.23,30.75,32.19,153829.98953473
2026-03-05,32.18,32.3,30.26,30.6,128104.6576357
2026-03-06,30.56,31.32,29.45,31.06,157429.12950848
2026-03-07,31.04,31.12,29.88,30.31,52901.73576425
2026-03-08,30.31,31.19,29.64,30.71,86796.39858963
2026-03-09,30.7,35.37,30.27,34.73,336802.95512964
2026-03-10,34.69,35.23,33.53,34.2,223879.29555172
2026-03-11,34.18,37.0,34.09,36.22,203184.30201929
2026-03-12,36.27,38.04,35.82,37.29,423807.76627287
2026-03-13,37.3,38.54,35.95,36.48,268929.34596955
2026-03-14,36.47,38.86,36.37,37.84,158363.7269613
2026-03-15,37.84,38.26,36.8,37.3,74187.41646098
2026-03-16,37.3,41.45,37.28,40.79,304399.94357574
2026-03-17,40.82,42.13,39.63,41.19,224731.97914333
2026-03-18,41.19,43.78,40.22,42.14,359882.88441673
2026-03-19,42.13,42.25,38.61,39.34,340357.27895524
2026-03-20,39.34,40.7,38.39,39.54,179516.54186098
2026-03-21,39.54,40.46,38.94,39.22,73355.01674632
2026-03-22,39.21,39.51,37.45,38.35,200404.31548946
2026-03-23,38.37,39.48,36.75,37.37,380745.75866837
2026-03-24,37.37,40.44,37.27,40.35,263996.79094597
2026-03-25,40.35,41.59,39.7,40.31,172551.26100848
2026-03-26,40.33,40.35,38.32,39.11,129186.72107413
2026-03-27,39.15,39.37,37.92,38.66,104313.17376137
2026-03-28,38.66,40.27,37.94,39.45,160130.25603548
2026-03-29,39.47,40.03,37.71,37.82,74236.02770888
2026-03-30,37.84,38.79,36.46,36.8,179048.11845132
2026-03-31,36.84,37.63,35.64,36.57,260281.53610418
2026-04-01,36.56,37.77,35.87,36.03,111492.7060168
2026-04-02,36.03,36.26,34.47,35.22,137756.3347943
2026-04-03,35.22,36.11,35.11,35.63,44437.87327388
2026-04-04,35.62,36.54,35.51,36.47,33918.66261614
2026-04-05,36.39,36.99,35.14,36.85,51718.38165208
2026-04-06,36.88,37.74,36.05,36.34,119572.71833936
2026-04-07,36.32,39.17,35.78,38.62,140656.75515546
2026-04-08,38.64,39.79,37.79,38.78,148879.31884229
2026-04-09,38.78,40.38,38.17,39.46,96572.65644078
2026-04-10,39.48,42.27,39.47,41.63,207777.08590244
2026-04-11,41.63,43.17,41.49,42.25,89208.02314118
2026-04-12,42.27,42.82,40.22,40.89,173967.21075365
2026-04-13,40.85,46.68,40.8,44.35,261149.85650891
2026-04-14,44.36,45.29,42.75,43.57,304405.69601114
2026-04-15,43.57,46.68,43.14,44.67,206652.03796071
2026-04-16,44.66,45.79,43.35,43.84,213579.56961906
2026-04-17,43.84,45.55,43.17,44.64,178501.97619252
2026-04-18,44.66,45.46,43.75,43.79,73434.89210145
2026-04-19,43.81,43.99,40.49,40.62,146646.87197621
2026-04-20,40.67,41.81,40.54,40.72,136093.19222458
2026-04-21,40.71,41.4,38.91,39.76,363553.07345843
2026-04-22,39.77,41.79,39.62,41.17,252529.27201764
2026-04-23,41.18,41.88,40.55,41.29,84303.4701584
2026-04-24,41.3,41.51,40.69,41.16,57210.35927402
2026-04-25,41.18,41.88,40.88,41.49,31562.41407327
2026-04-26,41.5,42.59,40.98,42.49,48450.05473365
2026-04-27,42.47,43.59,41.28,41.62,201322.7170792
2026-04-28,41.64,41.85,39.44,40.17,119850.55372278
2026-04-29,40.15,40.88,39.16,39.95,59996.34787796
2026-04-30,39.97,40.34,38.63,39.71,67662.3745259
2026-05-01,39.71,41.21,39.69,41.16,86481.92813452
2026-05-02,41.17,42.43,41.04,41.24,61611.41172712
2026-05-03,41.25,41.69,40.69,41.5,43193.3773441
2026-05-04,41.53,42.55,40.91,41.8,129654.05092707
2026-05-05,41.8,44.65,41.8,43.75,166589.26795865
2026-05-06,43.74,44.78,42.93,43.09,136202.23908022
2026-05-07,43.11,43.52,41.88,42.49,67751.64604827
2026-05-08,42.53,43.51,42.03,43.26,58359.15730668
2026-05-09,43.25,44.35,42.88,42.89,48352.68372139
2026-05-10,42.93,43.69,42.16,43.0,53983.32397749
2026-05-11,43.04,43.14,40.86,42.01,106823.17466075
2026-05-12,42.01,42.06,39.83,40.24,102510.98416064
2026-05-13,40.25,40.66,38.67,38.89,121426.43549267
2026-05-14,38.83,44.78,38.16,44.13,259296.39625458
2026-05-15,44.15,47.0,42.71,44.15,491526.76987096
2026-05-16,44.16,44.52,40.38,41.8,258019.45183499
2026-05-17,41.83,48.0,41.36,45.69,275518.34656797
2026-05-18,45.72,47.9,43.79,47.73,448332.40705173
2026-05-19,47.76,48.9,46.86,48.07,298181.2418462
2026-05-20,48.04,55.0,47.07,54.87,622046.90956866
2026-05-21,54.82,64.23,54.75,58.55,841832.86017279
2026-05-22,58.55,61.95,54.29,54.57,727515.09604623
2026-05-23,54.57,59.98,53.9,58.66,385576.24625295
2026-05-24,58.7,64.56,58.65,62.71,531687.50656187
2026-05-25,62.75,64.0,60.7,61.1,257361.6079546
2026-05-26,61.11,64.8,58.58,59.5,447941.28298962
2026-05-27,59.51,63.32,57.36,57.68,447387.73766279
2026-05-28,57.66,62.18,56.18,61.49,525153.3709934
2026-05-29,61.51,67.48,60.32,64.42,764369.5398154
2026-05-30,64.43,68.57,64.0,68.27,427249.24838982
2026-05-31,68.3,73.0,67.41,72.02,396659.47807092
2026-06-01,72.04,75.56,70.29,73.52,654136.68459795
2026-06-02,73.52,75.61,67.75,69.77,773386.56095104
2026-06-03,69.75,75.61,68.41,74.51,547986.80715781
2026-06-04,74.5,75.41,62.94,64.4,927125.94282819
2026-06-05,64.39,65.97,56.5,59.77,801609.83179993
2026-06-06,59.76,61.16,55.42,56.5,204843.41968247
2026-06-07,56.55,60.45,56.11,59.73,291070.18170529
2026-06-08,59.77,65.75,59.32,63.81,453637.61177452
2026-06-09,63.8,63.98,57.3,57.72,419705.36235265
2026-06-10,57.77,58.25,52.5,53.26,337132.14289535
2026-06-11,53.25,59.62,52.82,58.9,406782.81900738
2026-06-12,58.95,62.5,55.06,59.28,505627.61055294
2026-06-13,59.31,60.87,57.25,60.68,248684.20077736
2026-06-14,60.69,64.15,59.66,63.93,205994.06475201
2026-06-15,63.94,68.75,63.17,66.93,398870.27879469
