date,open,high,low,close,volume
2026-01-22,34.5,34.51,32.35,34.33,31341.96849743
2026-01-29,34.41,38.36,26.5,35.46,2211428.06887057
2026-02-05,35.47,37.0,28.35,29.38,2383434.59881391
2026-02-12,29.39,32.33,28.22,28.67,1003200.79216823
2026-02-19,28.69,30.55,25.54,27.85,722597.31252679
2026-02-26,27.89,33.71,26.13,32.19,920599.79015249
2026-03-05,32.18,37.0,29.45,36.22,1189098.47419871
2026-03-12,36.27,43.78,35.82,42.14,1814303.0628005
2026-03-19,42.13,42.25,36.75,40.31,1610926.96367482
2026-03-26,40.33,40.35,35.64,36.03,1018688.53915216
2026-04-02,36.03,39.79,34.47,38.78,676940.04467351
2026-04-09,38.78,46.68,38.17,44.67,1339732.56671881
2026-04-16,44.66,45.79,38.91,41.17,1364338.84758989
2026-04-23,41.18,43.59,39.16,39.95,602695.91691928
2026-04-30,39.97,44.78,38.63,43.09,691394.64969758
2026-05-07,43.11,44.35,38.67,38.89,559207.40536789
2026-05-14,38.83,55.0,38.16,54.87,2652921.52299509
2026-05-21,54.82,64.8,53.9,57.68,3639302.33764085
2026-05-28,57.66,75.61,56.18,74.51,4088941.68997634
2026-06-04,74.5,75.41,52.5,53.26,3435124.4930384
2026-06-11,53.25,76.9,52.82,71.12,2791508.59180607
2026-06-18,71.11,73.63,59.0,63.86,1927005.32963434
2026-06-25,63.88,67.74,58.41,62.36,1765523.90324823
2026-07-02,62.37,72.97,61.7,67.63,1242364.31419578
2026-07-09,67.61,69.53,62.51,66.81,979909.13673645
2026-07-16,66.86,67.17,57.34,59.36,891719.77180476
