date,open,high,low,close,volume
2026-04-09T08:00,38.77,39.29,38.77,38.81,10030.79096771
2026-04-09T12:00,38.82,39.84,38.8,39.58,32567.74618383
2026-04-09T16:00,39.61,40.29,39.36,40.07,28499.29195247
2026-04-09T20:00,40.07,40.38,39.35,39.46,15834.4360732
2026-04-10T00:00,39.48,40.92,39.47,40.16,49177.37101607
2026-04-10T04:00,40.17,40.83,40.05,40.06,18418.05332682
2026-04-10T08:00,40.13,41.22,40.08,41.18,57214.50445028
2026-04-10T12:00,41.18,42.24,41.08,41.72,59600.11354597
2026-04-10T16:00,41.82,42.27,41.6,41.71,12497.04347058
2026-04-10T20:00,41.83,41.9,41.33,41.63,10870.00009272
2026-04-11T00:00,41.63,42.11,41.49,41.82,13941.37119819
2026-04-11T04:00,41.84,42.73,41.61,42.52,10451.11891387
2026-04-11T08:00,42.57,42.57,42.16,42.42,9731.83160076
2026-04-11T12:00,42.43,42.56,41.77,41.91,9782.17840803
2026-04-11T16:00,41.94,43.17,41.93,43.0,29616.19468371
2026-04-11T20:00,43.01,43.02,42.08,42.25,15685.32833662
2026-04-12T00:00,42.27,42.82,40.99,41.08,65951.57634015
2026-04-12T04:00,41.07,41.12,40.56,40.76,24783.79587321
2026-04-12T08:00,40.75,40.94,40.38,40.43,10948.63723815
2026-04-12T12:00,40.43,40.89,40.22,40.84,49589.39388898
2026-04-12T16:00,40.84,41.36,40.84,41.13,12713.65791317
2026-04-12T20:00,41.11,41.26,40.49,40.89,9980.14949999
2026-04-13T00:00,40.85,42.01,40.8,41.57,7304.14437999
2026-04-13T04:00,41.56,41.68,41.08,41.24,37297.35385056
2026-04-13T08:00,41.26,41.88,41.15,41.85,7440.57074695
2026-04-13T12:00,41.9,42.91,41.57,42.46,40181.90372345
2026-04-13T16:00,42.43,46.68,42.23,43.68,118727.31099332
2026-04-13T20:00,43.63,44.6,43.18,44.35,50198.57281464
2026-04-14T00:00,44.36,45.03,44.18,44.7,72609.78170427
2026-04-14T04:00,44.67,45.04,44.47,44.53,32869.21549178
2026-04-14T08:00,44.52,45.29,44.41,44.82,31040.59028076
2026-04-14T12:00,44.84,45.22,43.35,43.53,74527.58289436
2026-04-14T16:00,43.54,43.88,43.14,43.37,47792.77175218
2026-04-14T20:00,43.42,43.6,42.75,43.57,45565.75388779
2026-04-15T00:00,43.57,44.5,43.49,43.99,33219.65019611
2026-04-15T04:00,44.02,44.09,43.14,43.36,26881.52735667
2026-04-15T08:00,43.33,44.77,43.28,44.2,37940.8911771
2026-04-15T12:00,44.22,46.68,44.03,44.69,33793.42579135
2026-04-15T16:00,44.69,45.43,44.07,44.89,61968.69897407
2026-04-15T20:00,44.88,44.99,44.3,44.67,12847.84446541
2026-04-16T00:00,44.66,45.21,44.1,44.85,10977.74541452
2026-04-16T04:00,44.84,45.79,44.7,45.25,52245.98599478
2026-04-16T08:00,45.29,45.45,44.47,44.63,18362.1333575
2026-04-16T12:00,44.6,45.08,43.71,44.83,97453.98638972
2026-04-16T16:00,44.77,44.88,43.45,44.15,21013.37613318
2026-04-16T20:00,44.13,44.13,43.35,43.84,13526.34232936
