date,open,high,low,close,volume
2024-08-17,0.69707,0.70716,0.68912,0.70097,90000.45973
2024-08-18,0.69944,0.71837,0.68761,0.68853,195092.01539
2024-08-19,0.68837,0.68845,0.65701,0.6847,351908.22946
2024-08-20,0.68508,0.71572,0.66056,0.6744,743940.81988
2024-08-21,0.67425,0.71052,0.56001,0.69694,470744.91541
2024-08-22,0.69891,0.729,0.69386,0.72304,1141339.27446
2024-08-23,0.72369,0.79616,0.72154,0.77877,1464561.60058
2024-08-24,0.77999,0.80482,0.75991,0.76826,554715.43771
2024-08-25,0.77197,0.772,0.72879,0.73798,842378.76352
2024-08-26,0.7391,0.74029,0.68782,0.6949,358678.30212
2024-08-27,0.69531,0.70938,0.63914,0.67138,568932.12534
2024-08-28,0.66949,0.68812,0.64253,0.66706,417914.54097
2024-08-29,0.66473,0.68947,0.64749,0.65488,251943.15038
2024-08-30,0.65591,0.66305,0.61187,0.64978,586302.92154
2024-08-31,0.65006,0.65433,0.62526,0.63102,108755.46101
2024-09-01,0.63088,0.63218,0.58918,0.59175,345650.41275
2024-09-02,0.59168,0.63053,0.585,0.61926,288375.20234
2024-09-03,0.61941,0.634,0.5241,0.57879,563950.21615
2024-09-04,0.58113,0.60989,0.55518,0.59775,462677.09324
2024-09-05,0.59755,0.60618,0.5665,0.5698,292747.05117
2024-09-06,0.57001,0.59741,0.53869,0.57183,471674.71293
2024-09-07,0.57156,0.59376,0.56758,0.57774,310048.39973
2024-09-08,0.57766,0.59697,0.57202,0.58969,280775.06973
2024-09-09,0.59033,0.64,0.58795,0.62882,447078.17283
2024-09-10,0.62907,0.64204,0.61522,0.63737,179829.4864
2024-09-11,0.6377,0.63771,0.60305,0.62093,243236.3929
2024-09-12,0.62118,0.64,0.61853,0.63675,241795.49469
2024-09-13,0.63771,0.66149,0.62511,0.65303,242231.87355
2024-09-14,0.65424,0.65655,0.62463,0.64328,212476.50331
2024-09-15,0.64468,0.65646,0.60655,0.61123,310862.94306
2024-09-16,0.61085,0.61112,0.57949,0.59508,375032.73064
2024-09-17,0.59499,0.6196,0.58662,0.59725,207301.39074
2024-09-18,0.59693,0.63552,0.57951,0.63552,407666.73181
2024-09-19,0.63531,0.67516,0.62707,0.65367,660006.55766
2024-09-20,0.65491,0.71593,0.63937,0.69032,792182.74792
2024-09-21,0.68761,0.70714,0.67059,0.70712,218315.01493
2024-09-22,0.70325,0.71056,0.66136,0.68464,495070.29377
2024-09-23,0.68545,0.7499,0.66899,0.73462,572704.83225
2024-09-24,0.73338,0.7824,0.71175,0.77884,1001902.53634
2024-09-25,0.78289,0.817,0.75589,0.76488,1107180.5357
2024-09-26,0.7659,0.82992,0.75001,0.82242,799418.9338
2024-09-27,0.82251,0.87304,0.8146,0.83651,751730.38831
2024-09-28,0.83584,0.85802,0.80314,0.81847,187345.67583
2024-09-29,0.81782,0.82937,0.77665,0.80529,856358.2347
2024-09-30,0.80897,0.81065,0.7431,0.75064,490444.8615
2024-10-01,0.75082,0.79545,0.68,0.72341,864493.18551
2024-10-02,0.72104,0.74361,0.68669,0.70257,356353.59242
2024-10-03,0.70288,0.72186,0.6576,0.67484,494824.11844
2024-10-04,0.67632,0.72246,0.67027,0.70794,777706.66131
2024-10-05,0.71099,0.72914,0.69284,0.70924,363313.24988
2024-10-06,0.7059,0.74306,0.70313,0.74299,250136.90367
2024-10-07,0.74329,0.76887,0.70336,0.7059,679276.38506
2024-10-08,0.70551,0.8,0.67529,0.68486,1112298.95387
