date,open,high,low,close,volume
2024-04-11,0.75,1.59999,0.6341,0.79732,10765061.28481
2024-04-18,0.79725,0.97735,0.68201,0.84015,7371865.62369
2024-04-25,0.83817,0.87352,0.69747,0.76926,5377434.81619
2024-05-02,0.7719,0.972,0.73274,0.76824,5155519.055
2024-05-09,0.76667,0.89,0.727,0.84701,4163634.8432
2024-05-16,0.84524,1.04525,0.77388,0.92918,7720621.02381
2024-05-23,0.93946,1.33232,0.92471,1.16761,13720026.07041
2024-05-30,1.1694,1.49341,1.071,1.3804,7384617.32932
2024-06-06,1.3801,1.44275,1.17058,1.34359,7512916.74871
2024-06-13,1.34054,1.44228,1.01,1.20083,7182885.47877
2024-06-20,1.19632,1.2997,1.05,1.188,5512254.82248
2024-06-27,1.1868,1.26137,1.09001,1.11863,3973867.9137
2024-07-04,1.12375,1.13252,0.84354,0.98514,6619760.54737
2024-07-11,0.97928,1.14073,0.91001,1.05231,5101737.99782
2024-07-18,1.05525,1.11441,0.948,0.95401,4566068.94766
2024-07-25,0.95431,1.05205,0.91555,0.9256,2689487.54306
2024-08-01,0.92815,0.94388,0.49838,0.65228,13524611.82407
2024-08-08,0.6551,0.82681,0.64541,0.73219,4992894.72829
2024-08-15,0.7308,0.74467,0.56001,0.69694,2847371.48326
2024-08-22,0.69891,0.80482,0.63914,0.66706,5348520.0447
2024-08-29,0.66473,0.68947,0.5241,0.59775,2607654.45741
2024-09-05,0.59755,0.64204,0.53869,0.62093,2225389.28569
2024-09-12,0.62118,0.66149,0.57949,0.63552,1997367.6678
2024-09-19,0.63531,0.817,0.62707,0.76488,4847362.51857
2024-09-26,0.7659,0.87304,0.68,0.70257,4306144.87207
2024-10-03,0.70288,0.8,0.655,0.6622,4069156.17752
2024-10-10,0.66382,0.77649,0.64525,0.72952,3344291.57463
2024-10-17,0.73076,0.9105,0.70212,0.7474,3417634.19213
2024-10-24,0.7475,0.795,0.63777,0.72701,3421436.99577
2024-10-31,0.72746,0.74145,0.57973,0.73758,3903254.7473
2024-11-07,0.73916,0.98984,0.70825,0.87857,10334243.34671
2024-11-14,0.87448,1.08535,0.79,0.96822,14366329.7038
2024-11-21,0.96759,1.12422,0.94811,1.09415,9153428.95179
2024-11-28,1.09451,1.97,1.05065,1.73516,17748539.00859
2024-12-05,1.73362,1.94999,1.34001,1.78633,14927473.27397
2024-12-12,1.78723,2.17341,1.73279,1.81617,16173289.96385
2024-12-19,1.81597,1.93727,1.47331,1.61269,10612436.18787
2024-12-26,1.60964,1.62489,1.31,1.45777,8189628.91955
2025-01-02,1.45294,1.65682,1.17,1.31938,9299690.09755
2025-01-09,1.31322,1.35024,1.07115,1.28826,9910756.64252
2025-01-16,1.2891,1.65682,1.15,1.28759,22683308.99451
2025-01-23,1.28525,1.59445,1.24661,1.47139,28330163.54362
