date,open,high,low,close,volume
2000-08-30,4.95,4.95,4.895,4.93,2319
2000-08-31,4.92,5.045,4.92,5.003,1612
2000-09-01,5.035,5.035,4.985,5.004,1375
2000-09-05,4.99,5.005,4.975,4.998,856
2000-09-06,5.0,5.0,4.98,4.983,232
2000-09-07,4.98,4.98,4.93,4.935,300
2000-09-08,4.94,4.945,4.91,4.923,120
2000-09-11,4.905,4.91,4.885,4.885,113
2000-09-12,4.935,4.94,4.9,4.909,211
2000-09-13,4.92,4.92,4.88,4.892,87
2000-09-14,4.895,4.91,4.88,4.888,103
2000-09-15,4.87,4.88,4.855,4.868,16
2000-09-18,4.876,4.876,4.876,4.876,15
2000-09-19,4.89,4.89,4.875,4.883,111
2000-09-20,4.86,4.865,4.83,4.83,13
2000-09-21,4.9,4.9,4.87,4.872,16
2000-09-22,4.9,4.91,4.9,4.91,29
2000-09-25,4.9,4.915,4.86,4.915,219
2000-09-26,4.93,4.931,4.93,4.931,0
2000-09-27,4.91,4.968,4.91,4.968,0
2000-09-28,4.953,4.953,4.953,4.953,1
2000-09-29,4.87,4.899,4.87,4.899,0
2000-10-02,4.906,4.906,4.906,4.906,0
2000-10-03,4.913,4.913,4.913,4.913,4
2000-10-04,4.84,4.874,4.84,4.874,1
2000-10-05,4.889,4.889,4.889,4.889,1
2000-10-06,4.883,4.883,4.883,4.883,0
2000-10-09,4.885,4.885,4.885,4.885,0
2000-10-10,4.918,4.918,4.918,4.918,0
2000-10-11,4.87,4.87,4.87,4.87,0
2000-10-12,4.923,4.923,4.923,4.923,0
2000-10-13,4.883,4.883,4.883,4.883,0
2000-10-16,4.881,4.881,4.881,4.881,0
2000-10-17,4.843,4.843,4.843,4.843,0
2000-10-18,4.853,4.853,4.853,4.853,0
2000-10-19,4.828,4.828,4.828,4.828,0
2000-10-20,4.828,4.828,4.828,4.828,0
2000-10-23,4.786,4.786,4.786,4.786,6
2000-10-24,4.775,4.799,4.775,4.799,0
2000-10-25,4.764,4.764,4.764,4.764,0
2000-10-26,4.731,4.731,4.731,4.731,0
2000-10-27,4.746,4.746,4.746,4.746,1
2000-10-30,4.77,4.77,4.748,4.748,0
2000-10-31,4.754,4.754,4.754,4.754,1
2000-11-01,4.774,4.774,4.774,4.774,0
2000-11-02,4.711,4.711,4.711,4.711,4
2000-11-03,4.741,4.741,4.741,4.741,0
2000-11-06,4.761,4.761,4.761,4.761,0
2000-11-07,4.721,4.721,4.721,4.721,0
2000-11-08,4.739,4.739,4.739,4.739,0
2000-11-09,4.749,4.749,4.749,4.749,0
2000-11-10,4.707,4.707,4.707,4.707,1
2000-11-13,4.7,4.7,4.672,4.672,0
2000-11-14,4.679,4.679,4.679,4.679,20
2000-11-15,4.672,4.672,4.672,4.672,0
2000-11-16,4.68,4.68,4.66,4.66,0
2000-11-17,4.645,4.645,4.645,4.645,0
2000-11-20,4.642,4.642,4.642,4.642,0
2000-11-21,4.627,4.627,4.627,4.627,0
2000-11-22,4.625,4.625,4.625,4.625,0
2000-11-27,4.695,4.695,4.695,4.695,0
2000-11-28,4.698,4.698,4.698,4.698,23582
2000-11-29,4.695,4.71,4.6,4.615,4660
2000-11-30,4.605,4.675,4.6,4.674,325
2000-12-01,4.675,4.685,4.64,4.64,208
2000-12-04,4.65,4.745,4.65,4.714,129
2000-12-05,4.7,4.72,4.675,4.704,409
2000-12-06,4.695,4.76,4.695,4.754,141
2000-12-07,4.765,4.765,4.705,4.724,14
2000-12-08,4.7,4.7,4.648,4.648,49
2000-12-11,4.656,4.665,4.655,4.656,229
2000-12-12,4.675,4.675,4.66,4.66,8
2000-12-13,4.635,4.635,4.62,4.623,6
2000-12-14,4.625,4.625,4.598,4.598,17
2000-12-15,4.55,4.575,4.55,4.563,697
2000-12-18,4.58,4.58,4.575,4.575,202
2000-12-19,4.595,4.595,4.585,4.585,127
2000-12-20,4.61,4.65,4.596,4.596,258
2000-12-21,4.599,4.599,4.599,4.599,4
2000-12-22,4.6,4.611,4.6,4.611,2
2000-12-26,4.623,4.623,4.623,4.623,0
2000-12-27,4.583,4.583,4.583,4.583,45
2000-12-28,4.56,4.587,4.56,4.587,45
2000-12-29,4.585,4.585,4.585,4.585,0
2001-01-02,4.545,4.545,4.545,4.545,40
2001-01-03,4.5,4.5,4.49,4.49,0
2001-01-04,4.532,4.532,4.532,4.532,35
2001-01-05,4.555,4.555,4.555,4.555,0
2001-01-08,4.545,4.545,4.545,4.545,8
2001-01-09,4.53,4.55,4.53,4.55,73
2001-01-10,4.535,4.535,4.535,4.535,31
2001-01-11,4.557,4.557,4.557,4.557,31
2001-01-12,4.622,4.622,4.622,4.622,0
2001-01-16,4.677,4.677,4.677,4.677,0
2001-01-17,4.71,4.71,4.71,4.71,0
2001-01-18,4.794,4.794,4.794,4.794,0
2001-01-19,4.749,4.749,4.749,4.749,0
2001-01-22,4.774,4.774,4.774,4.774,0
2001-01-23,4.776,4.776,4.776,4.776,0
2001-01-24,4.768,4.768,4.768,4.768,0
2001-01-25,4.785,4.785,4.785,4.785,0
2001-01-26,4.805,4.805,4.805,4.805,0
2001-01-29,4.803,4.803,4.803,4.803,160
2001-01-30,4.796,4.796,4.796,4.796,4
2001-01-31,4.77,4.791,4.77,4.791,2
2001-02-01,4.74,4.79,4.74,4.79,2
2001-02-02,4.768,4.768,4.768,4.768,0
2001-02-05,4.678,4.678,4.678,4.678,0
2001-02-06,4.653,4.653,4.653,4.653,0
2001-02-07,4.611,4.611,4.611,4.611,0
2001-02-08,4.56,4.56,4.56,4.56,0
2001-02-09,4.553,4.553,4.553,4.553,0
2001-02-12,4.553,4.553,4.553,4.553,0
2001-02-13,4.553,4.553,4.553,4.553,0
2001-02-14,4.58,4.58,4.58,4.58,0
2001-02-15,4.513,4.513,4.513,4.513,0
2001-02-16,4.488,4.488,4.488,4.488,0
2001-02-20,4.418,4.418,4.418,4.418,0
2001-02-21,4.406,4.406,4.406,4.406,0
2001-02-22,4.413,4.413,4.413,4.413,0
2001-02-23,4.431,4.431,4.431,4.431,0
2001-02-26,4.443,4.443,4.443,4.443,11413
2001-02-27,4.46,4.47,4.4,4.414,3140
2001-02-28,4.42,4.54,4.39,4.472,589
2001-03-01,4.485,4.49,4.39,4.395,665
2001-03-02,4.405,4.45,4.39,4.419,203
2001-03-05,4.405,4.45,4.38,4.416,47
2001-03-06,4.39,4.42,4.39,4.408,42
2001-03-07,4.38,4.44,4.38,4.428,679
2001-03-08,4.41,4.495,4.41,4.476,53
2001-03-09,4.46,4.52,4.46,4.488,287
2001-03-12,4.495,4.495,4.4,4.409,16
2001-03-13,4.375,4.435,4.375,4.419,97
2001-03-14,4.39,4.445,4.39,4.428,356
2001-03-15,4.395,4.425,4.32,4.325,23
2001-03-16,4.31,4.31,4.27,4.288,0
2001-03-19,4.285,4.295,4.28,4.295,135
2001-03-20,4.29,4.328,4.29,4.328,36
2001-03-21,4.3,4.33,4.3,4.323,2
2001-03-22,4.31,4.334,4.31,4.334,127
2001-03-23,4.33,4.342,4.33,4.342,4
2001-03-26,4.355,4.359,4.34,4.359,0
2001-03-27,4.414,4.414,4.414,4.414,0
2001-03-28,4.354,4.385,4.354,4.354,63
2001-03-29,4.35,4.35,4.318,4.318,10
2001-03-30,4.278,4.278,4.278,4.278,0
2001-04-02,4.298,4.298,4.298,4.298,0
2001-04-03,4.296,4.296,4.296,4.296,0
2001-04-04,4.323,4.323,4.323,4.323,0
2001-04-05,4.341,4.341,4.341,4.341,20
2001-04-06,4.321,4.321,4.321,4.321,0
2001-04-09,4.301,4.301,4.301,4.301,55
2001-04-10,4.311,4.311,4.311,4.311,0
2001-04-11,4.353,4.353,4.353,4.353,0
2001-04-12,4.358,4.358,4.358,4.358,0
2001-04-16,4.432,4.432,4.432,4.432,0
2001-04-17,4.36,4.36,4.36,4.36,0
2001-04-18,4.357,4.357,4.357,4.357,0
2001-04-19,4.419,4.419,4.419,4.419,10
2001-04-20,4.435,4.435,4.435,4.435,20
2001-04-23,4.435,4.435,4.435,4.435,0
2001-04-24,4.448,4.448,4.448,4.448,0
2001-04-25,4.365,4.365,4.365,4.365,0
2001-04-26,4.377,4.377,4.377,4.377,11195
2001-04-27,4.38,4.41,4.35,4.357,996
2001-04-30,4.36,4.36,4.31,4.32,420
2001-05-01,4.31,4.36,4.31,4.35,90
2001-05-02,4.335,4.39,4.335,4.36,59
2001-05-03,4.375,4.375,4.33,4.33,20
2001-05-04,4.327,4.327,4.32,4.327,31
2001-05-07,4.294,4.315,4.294,4.294,5
2001-05-08,4.31,4.31,4.304,4.304,161
2001-05-09,4.33,4.386,4.33,4.386,23
2001-05-10,4.34,4.34,4.323,4.323,21
2001-05-11,4.325,4.33,4.31,4.31,5
2001-05-14,4.332,4.332,4.332,4.332,0
2001-05-15,4.295,4.295,4.295,4.295,0
2001-05-16,4.438,4.438,4.438,4.438,18
2001-05-17,4.43,4.47,4.43,4.47,2
